INCIDENT TIMELINE
=================
Timestamp,Event,Process,Details
2024-01-27 13:44:30,Initial Compromise,powershell.exe,Malicious PowerShell execution
2024-01-27 13:44:45,File Download,powershell.exe,Downloaded backup.exe from C2 server
2024-01-27 13:44:55,Registry Modification,backup.exe,Added autorun entry
2024-01-27 13:45:02,File Association,backup.exe,Modified txt file handler
2024-01-27 13:45:12,Process Spawn,notepad.exe,User opened document
2024-01-27 13:45:18,Privilege Escalation,powershell.exe,Execution policy bypass
2024-01-27 13:45:25,Malware Execution,svchost.exe,Fake svchost process started
2024-01-27 13:45:28,Process Injection,rundll32.exe,Code injection detected
2024-01-27 13:45:32,Command Shell,cmd.exe,Interactive shell spawned
2024-01-27 13:45:40,Data Collection,cmd.exe,File enumeration started
2024-01-27 13:46:15,Data Exfiltration,rundll32.exe,Files uploaded to C2
2024-01-27 13:46:45,Memory Capture,system,Forensic image created
